Date Reported,DR Number,Date Occurred,Time Occurred,Area,Area Name,RD,Crime Code,Crime Code Description,Status,Status Description,Location,Cross Street,Lat and Long
1/7/2016 12:00,160104566,1/7/2016 12:00,1030,1,Central,152,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",AO,Adult Other,657 S  FLOWER                       ST,,"(34.0502, -118.2574)"
5/13/2016 12:00,161311839,5/13/2016 12:00,2245,13,Newton,1361,210,ROBBERY,IC,Invest Cont,317 W  51ST                         ST,,"(33.9965, -118.2783)"
4/23/2016 12:00,161412364,4/23/2016 12:00,1720,14,Pacific,1492,330,BURGLARY FROM VEHICLE,IC,Invest Cont,VISTA DEL MAR,IMPERIAL                     HY,"(33.9308, -118.4349)"
10/11/2016 12:00,162117569,10/11/2016 12:00,2050,21,Topanga,2157,662,"BUNCO, GRAND THEFT",IC,Invest Cont,6750    DE SOTO                      AV,,"(34.1921, -118.5884)"
1/2/2016 12:00,162004065,1/2/2016 12:00,2005,20,Olympic,2031,510,VEHICLE - STOLEN,AA,Adult Arrest,8TH                          ST,MANHATTAN                    PL,"(34.0581, -118.3101)"
7/29/2016 12:00,160214653,7/29/2016 12:00,1300,2,Rampart,246,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,650 S  ALVARADO                     ST,,"(34.0596, -118.2749)"
10/24/2016 12:00,160323964,10/24/2016 12:00,1500,3,Southwest,358,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,3715    MCCLINTOCK                   AV,,"(34.0204, -118.29)"
3/30/2016 12:00,160208589,3/30/2016 12:00,1915,2,Rampart,204,210,ROBBERY,IC,Invest Cont,LUCILE                       AV,MARATHON                     ST,"(34.0872, -118.2812)"
10/21/2016 12:00,161819902,10/19/2016 12:00,2130,18,Southeast,1802,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,90TH                         ST,FLOWER                       ST,"(33.9551, -118.2812)"
1/18/2016 12:00,160404736,1/18/2016 12:00,2220,4,Hollenbeck,422,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,3213    BALDWIN                      ST,,"(34.0702, -118.2077)"
4/26/2016 12:00,161510462,4/26/2016 12:00,1315,15,N Hollywood,1539,903,CONTEMPT OF COURT,AO,Adult Other,5712    VINELAND                     AV,,"(34.174, -118.3703)"
7/26/2016 12:00,161419844,7/20/2016 12:00,1200,14,Pacific,1424,354,THEFT OF IDENTITY,IC,Invest Cont,12318    DEWEY                        ST,,"(34.0168, -118.4421)"
2/29/2016 12:00,160607699,2/16/2016 12:00,1000,6,Hollywood,636,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,AO,Adult Other,1710 N  MC CADDEN                    PL,,"(34.1016, -118.3374)"
4/28/2016 12:00,160113310,4/28/2016 12:00,1815,1,Central,139,510,VEHICLE - STOLEN,IC,Invest Cont,TRACTION                     ST,HEWITT                       ST,"(34.0454, -118.236)"
6/8/2016 12:00,161111622,6/8/2016 12:00,630,11,Northeast,1152,900,VIOLATION OF COURT ORDER,AO,Adult Other,4391    CLAYTON                      AV,,"(34.1, -118.283)"
11/11/2016 12:00,160623414,11/7/2016 12:00,1700,6,Hollywood,615,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),IC,Invest Cont,3277    PRIMERA                      AV,,"(34.1284, -118.3454)"
2/16/2016 12:00,161106169,2/15/2016 12:00,1900,11,Northeast,1136,510,VEHICLE - STOLEN,IC,Invest Cont,959    FARNAM                       ST,,"(34.1161, -118.2114)"
8/25/2016 12:00,161517054,8/23/2016 12:00,1700,15,N Hollywood,1591,510,VEHICLE - STOLEN,IC,Invest Cont,4033    LAUREL CANYON                BL,,"(34.1436, -118.3953)"
8/20/2016 12:00,161816407,8/20/2016 12:00,30,18,Southeast,1802,220,ATTEMPTED ROBBERY,IC,Invest Cont,GRAND,93RD                         ST,"(33.9519, -118.2797)"
10/4/2016 12:00,161519293,10/4/2016 12:00,1930,15,N Hollywood,1503,649,DOCUMENT FORGERY / STOLEN FELONY,IC,Invest Cont,7563    LAUREL CANYON                BL,,"(34.2068, -118.3965)"
10/12/2016 12:00,160323109,10/12/2016 12:00,1445,3,Southwest,334,510,VEHICLE - STOLEN,IC,Invest Cont,29TH,NORTON,"(34.0295, -118.3327)"
11/14/2016 12:00,161322944,11/13/2016 12:00,1900,13,Newton,1309,330,BURGLARY FROM VEHICLE,IC,Invest Cont,2319 E  WASHINGTON                   BL,,"(34.019, -118.232)"
4/24/2016 12:00,161212208,4/24/2016 12:00,100,12,77th Street,1245,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,1038 W  GAGE                         AV,,"(33.9822, -118.2915)"
2/11/2016 12:00,162006064,2/10/2016 12:00,1900,20,Olympic,2027,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),IC,Invest Cont,615 S  KENMORE                      AV,,"(34.0636, -118.2966)"
1/8/2016 12:00,160904335,1/8/2016 12:00,1845,9,Van Nuys,943,888,TRESPASSING,IC,Invest Cont,14332    MARTHA                       ST,,"(34.1731, -118.4443)"
6/3/2016 12:00,160613631,6/3/2016 12:00,100,6,Hollywood,646,350,"THEFT, PERSON",IC,Invest Cont,6506    HOLLYWOOD                    BL,,"(34.1016, -118.331)"
11/14/2016 12:00,161921698,11/13/2016 12:00,1835,19,Mission,1972,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,15316    NORDHOFF                     ST,,"(34.2355, -118.4654)"
6/22/2016 12:00,161610856,5/3/2016 12:00,30,16,Foothill,1654,330,BURGLARY FROM VEHICLE,IC,Invest Cont,10252    NORRIS                       AV,,"(34.2552, -118.4008)"
8/8/2016 12:00,161714594,8/8/2016 12:00,1615,17,Devonshire,1729,330,BURGLARY FROM VEHICLE,IC,Invest Cont,11133    BALBOA                       BL,,"(34.272, -118.5022)"
9/13/2016 12:00,162016660,9/10/2016 12:00,1000,20,Olympic,2034,649,DOCUMENT FORGERY / STOLEN FELONY,IC,Invest Cont,691    IROLO                        ST,,"(34.0588, -118.3009)"
10/16/2016 12:00,160716526,10/16/2016 12:00,1635,7,Wilshire,732,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,6121    WILSHIRE                     BL,,"(34.063, -118.3614)"
6/12/2016 12:00,161216158,6/12/2016 12:00,1415,12,77th Street,1245,350,"THEFT, PERSON",IC,Invest Cont,6219 S  VERMONT                      AV,,"(33.9803, -118.2918)"
5/31/2016 12:00,160601003,5/30/2016 12:00,2040,6,Hollywood,636,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,1724 N  HIGHLAND                     AV,,"(34.1016, -118.3387)"
8/3/2016 12:00,160318231,6/17/2016 12:00,1,3,Southwest,312,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",IC,Invest Cont,2651 S  REDONDO                      BL,,"(34.0325, -118.3563)"
3/11/2016 12:00,161409027,3/11/2016 12:00,1400,14,Pacific,1488,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),IC,Invest Cont,8734    BELLANCA                     AV,,"(33.9587, -118.3805)"
11/12/2016 12:00,161019090,11/12/2016 12:00,1800,10,West Valley,1023,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,19156    HAMLIN                       ST,,"(34.189, -118.5492)"
8/30/2016 12:00,161222132,8/30/2016 12:00,57,12,77th Street,1242,510,VEHICLE - STOLEN,IC,Invest Cont,6401    6TH                          AV,,"(33.9818, -118.3235)"
6/1/2016 12:00,161512493,5/31/2016 12:00,830,15,N Hollywood,1505,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,7240    LANKERSHIM                   BL,,"(34.2012, -118.3878)"
